stateabb,ccode,statenme,state_dept_name,styear,stmonth,stday,endyear,endmonth,endday,version
YUG,345,Yugoslavia,Kingdom of Serbia/Yugoslavia,1878,7,13,1941,4,20,2016
YUG,345,Yugoslavia,Kingdom of Serbia/Yugoslavia,1944,10,20,1992,5,20,2016
YUG,345,Yugoslavia,Serbia,1992,5,21,2016,12,31,2016
BOS,346,Bosnia and Herzegovina,Bosnia and Herzegovina,1992,4,7,2016,12,31,2016
KOS,347,Kosovo,Kosovo,2008,2,20,2016,12,31,2016
SLV,349,Slovenia,Slovenia,1992,1,15,2016,12,31,2016
GRC,350,Greece,Greece,1828,1,1,1941,4,23,2016
GRC,350,Greece,Greece,1944,10,13,2016,12,31,2016
CYP,352,Cyprus,Cyprus,1960,8,16,2016,12,31,2016
BUL,355,Bulgaria,Bulgaria,1908,10,5,2016,12,31,2016
MLD,359,Moldova,Moldova,1991,12,26,2016,12,31,2016
ROM,360,Romania,Romania,1878,7,13,2016,12,31,2016
RUS,365,Russia,Russia,1816,1,1,2016,12,31,2016
EST,366,Estonia,Estonia,1918,2,24,1940,6,16,2016
EST,366,Estonia,Estonia,1991,9,6,2016,12,31,2016
LAT,367,Latvia,Latvia,1918,11,18,1940,6,16,2016
LAT,367,Latvia,Latvia,1991,9,6,2016,12,31,2016
LIT,368,Lithuania,Lithuania,1918,2,16,1940,6,15,2016
LIT,368,Lithuania,Lithuania,1991,9,6,2016,12,31,2016
UKR,369,Ukraine,Ukraine,1991,12,26,2016,12,31,2016
BLR,370,Belarus,Belarus,1991,12,26,2016,12,31,2016
ARM,371,Armenia,Armenia,1991,12,26,2016,12,31,2016
GRG,372,Georgia,Georgia,1991,12,26,2016,12,31,2016
AZE,373,Azerbaijan,Azerbaijan,1991,12,26,2016,12,31,2016
FIN,375,Finland,Finland,1917,12,6,2016,12,31,2016
SWD,380,Sweden,Sweden,1816,1,1,2016,12,31,2016
NOR,385,Norway,Norway,1905,6,7,1940,4,30,2016
NOR,385,Norway,Norway,1945,5,7,2016,12,31,2016
DEN,390,Denmark,Denmark,1816,1,1,1940,4,9,2016
DEN,390,Denmark,Denmark,1945,5,7,2016,12,31,2016
ICE,395,Iceland,Iceland,1944,6,17,2016,12,31,2016
CAP,402,Cape Verde,Cabo Verde,1975,7,5,2016,12,31,2016
STP,403,Sao Tome and Principe,Sao Tome and Principe,1975,7,12,2016,12,31,2016
GNB,404,Guinea-Bissau,Guinea-Bissau,1974,9,10,2016,12,31,2016
EQG,411,Equatorial Guinea,Equatorial Guinea,1968,10,12,2016,12,31,2016
GAM,420,Gambia,"Gambia, The",1965,2,18,2016,12,31,2016
MLI,432,Mali,Mali,1960,6,20,2016,12,31,2016
SEN,433,Senegal,Senegal,1960,8,20,2016,12,31,2016
BEN,434,Benin,Benin (Dahomey),1960,8,1,2016,12,31,2016
MAA,435,Mauritania,Mauritania,1960,11,28,2016,12,31,2016
NIR,436,Niger,Niger,1960,10,3,2016,12,31,2016
CDI,437,Ivory Coast,Cote d’Ivoire (Ivory Coast),1960,8,7,2016,12,31,2016
