state_dept_name,status_change,year,month,day,last_verified,notes
Uruguay,Embassy,1941,7,12,2024-01-16,
Uzbekistan,Embassy,1992,3,16,2024-01-16,
Vanuatu,Ambassador Nonresident,1987,4,10,2024-01-16,
Venezuela,Legation,1835,6,30,2024-01-16,
Venezuela,Embassy,1939,8,14,2024-01-16,Chiefs of Mission page for Venezuela
Vietnam,Consulate,1907,12,9,2024-01-16,
Vietnam,Legation,1950,2,17,2024-01-16,
Vietnam,Embassy,1952,6,24,2024-01-16,
Vietnam,None,1975,4,29,2024-01-16,
Vietnam,Liaison,1995,1,28,2024-01-16,
Vietnam,Embassy,1995,8,6,2024-01-16,
Württemberg,Consulate,1842,10,13,2024-01-16,
Württemberg,None,1843,3,3,2024-01-16,
Württemberg,Consulate,1847,3,3,2024-01-16,
Württemberg,Envoy Nonresident,1868,7,27,2024-01-16,
Württemberg,None,1917,2,3,2024-01-16,
Zambia,Embassy,1964,10,24,2024-01-16,
Zanzibar,Embassy,1963,12,10,2024-01-16,Chiefs of Mission page for Tanzania
Zanzibar,Consulate,1964,6,27,2024-01-16,Chiefs of Mission page for Tanzania
Zimbabwe,Embassy,1980,4,18,2024-01-16,
