statenumber,stateid,countryname,state_dept_name,start,end
666,ISR,Israel,Israel,1948-05-14,2020-12-31
325,ITA,Italy/Sardinia,Italy,1816-01-01,2020-12-31
51,JAM,Jamaica,Jamaica,1962-08-06,2020-12-31
740,JPN,Japan,Japan,1816-01-01,2020-12-31
663,JOR,Jordan,Jordan,1946-05-25,2020-12-31
705,KZK,Kazakhstan,Kazakhstan,1991-12-16,2020-12-31
501,KEN,Kenya,Kenya,1963-12-12,2020-12-31
970,KBI,Kiribati,Kiribati,1979-07-12,2020-12-31
730,KOR,Korea,Korea,1816-01-01,1910-08-22
731,PRK,"Korea, People's Republic of",,1948-09-09,2020-12-31
732,ROK,"Korea, Republic of",Republic of Korea (South Korea),1948-08-15,2020-12-31
347,KOS,Kosovo,Kosovo,2008-02-17,2020-12-31
690,KUW,Kuwait,Kuwait,1961-06-19,2020-12-31
703,KYR,Kyrgyz Republic,Kyrgyzstan,1991-08-31,2020-12-31
812,LAO,Laos,Laos,1954-05-01,2020-12-31
367,LAT,Latvia,Latvia,1918-11-11,1940-06-01
367,LAT,Latvia,Latvia,1991-09-06,2020-12-31
660,LEB,Lebanon,Lebanon,1944-11-22,2020-12-31
570,LES,Lesotho,Lesotho,1966-10-04,2020-12-31
450,LBR,Liberia,Liberia,1847-07-26,2020-12-31
620,LIB,Libya,Libya,1816-01-01,1834-12-31
620,LIB,Libya,Libya,1951-12-24,2020-12-31
223,LIE,Liechtenstein,Liechtenstein,1816-01-01,2020-12-31
368,LIT,Lithuania,Lithuania,1918-02-16,1940-06-01
368,LIT,Lithuania,Lithuania,1991-09-06,2020-12-31
212,LUX,Luxembourg,Luxembourg,1867-05-11,2020-12-31
343,MAC,Macedonia (Former Yugoslav Republic of),North Macedonia,1991-11-20,2020-12-31
580,MAG,Madagascar,Madagascar,1960-06-26,2020-12-31
580,MAG,Madagascar (Malagasy),Madagascar,1816-01-01,1896-08-05
553,MAW,Malawi,Malawi,1964-07-06,2020-12-31
820,MAL,Malaysia,Malaysia,1957-08-31,2020-12-31
781,MAD,Maldives,Maldives,1965-05-26,2020-12-31
432,MLI,Mali,Mali,1960-09-22,2020-12-31
338,MLT,Malta,Malta,1964-09-21,2020-12-31
983,MSI,Marshall Islands,Marshall Islands,1986-10-21,2020-12-31
435,MAA,Mauritania,Mauritania,1960-11-28,2020-12-31
590,MAS,Mauritius,Mauritius,1968-03-12,2020-12-31
280,MEC,Mecklenburg-Schwerin,Mecklenburg-Schwerin,1816-01-01,1871-01-17
70,MEX,Mexico,Mexico,1821-07-01,2020-12-31
332,MOD,Modena,,1816-01-01,1861-03-16
359,MLD,Moldova,Moldova,1991-08-27,2020-12-31
221,MNC,Monaco,Monaco,1816-01-01,2020-12-31
712,MON,Mongolia,Mongolia,1921-03-13,2020-12-31
341,MNG,Montenegro,Montenegro,1868-01-01,1915-07-01
341,MNG,Montenegro,Montenegro,2006-06-03,2020-12-31
600,MOR,Morocco,Morocco,1816-01-01,1904-01-01
600,MOR,Morocco,Morocco,1956-03-02,2020-12-31
541,MZM,Mozambique,Mozambique,1975-06-25,2020-12-31
775,MYA,Myanmar (Burma),Burma,1816-01-01,1885-12-31
775,MYA,Myanmar (Burma),Burma,1948-01-04,2020-12-31
565,NAM,Namibia,Namibia,1990-03-21,2020-12-31
971,NAU,Nauru,Nauru,1968-12-31,2020-12-31
790,NEP,Nepal,Nepal,1816-01-01,2020-12-31
210,NTH,Netherlands,"Netherlands, The",1816-01-01,2020-12-31
920,NEW,New Zealand,New Zealand,1907-09-01,2020-12-31
93,NIC,Nicaragua,Nicaragua,1840-01-01,2020-12-31
436,NIR,Niger,Niger,1960-08-03,2020-12-31
475,NIG,Nigeria,Nigeria,1960-10-01,2020-12-31
385,NOR,Norway,Norway,1905-08-26,2020-12-31
698,OMA,Oman,Oman,1816-01-01,2020-12-31
564,OFS,Orange Free State,Orange Free State,1854-03-28,1910-05-30
770,PAK,Pakistan,Pakistan,1947-08-14,2020-12-31
986,PAL,Palau,Palau,1994-10-01,2020-12-31
95,PAN,Panama,Panama,1903-11-03,2020-12-31
327,PAP,Papal States,Papal States,1816-01-01,1870-09-22
910,PNG,Papua New Guinea,Papua New Guinea,1975-09-16,2020-12-31
150,PAR,Paraguay,Paraguay,1816-01-01,2020-12-31
335,PMA,Parma,"Duchy of Parma, The",1816-01-01,1861-03-16
135,PER,Peru,Peru,1824-12-09,2020-12-31
840,PHI,Philippines,Philippines,1946-07-04,2020-12-31
290,POL,Poland,Poland,1918-11-11,2020-12-31
235,POR,Portugal,Portugal,1816-01-01,2020-12-31
694,QAT,Qatar,Qatar,1971-09-03,2020-12-31
360,RUM,Rumania,Romania,1878-07-13,2020-12-31
365,RUS,Russia (Soviet Union),Russia,1816-01-01,2020-12-31
517,RWA,Rwanda,Rwanda,1962-01-07,2020-12-31
60,SKN,Saint Kitts and Nevis,Saint Kitts and Nevis,1983-09-19,2020-12-31
56,SLU,Saint Lucia,Saint Lucia,1979-02-22,2020-12-31
57,SVG,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1979-10-27,2020-12-31
990,WSM,Samoa/Western Samoa,Samoa,1962-01-01,2020-12-31
331,SNM,San Marino,San Marino,1816-01-01,2020-12-31
403,STP,São Tomé and Principe,Sao Tome and Principe,1975-07-12,2020-12-31
670,SAU,Saudi Arabia,Saudi Arabia,1932-09-23,2020-12-31
269,SAX,Saxony,,1816-01-01,1871-01-17
433,SEN,Senegal,Senegal,1960-04-04,2020-12-31
340,SER,Serbia,Kingdom of Serbia/Yugoslavia,1878-07-13,1915-10-01
340,SER,Serbia,Serbia,2006-06-05,2020-12-31
591,SEY,Seychelles,Seychelles,1976-06-29,2020-12-31
451,SIE,Sierra Leone,Sierra Leone,1961-04-27,2020-12-31
830,SIN,Singapore,Singapore,1965-08-09,2020-12-31
317,SLO,Slovakia,Slovakia,1993-01-01,2020-12-31
349,SLV,Slovenia,Slovenia,1992-04-27,2020-12-31
940,SOL,Solomon Islands,"Solomon Islands, The",1978-07-07,2020-12-31
520,SOM,Somalia,Somalia,1960-07-01,2020-12-31
560,SAF,South Africa,South Africa,1910-05-31,2020-12-31
397,SOT,South Ossetia,,2008-08-26,2020-12-31
626,SSD,South Sudan,South Sudan,2011-07-09,2020-12-31
230,SPN,Spain,Spain,1816-01-01,2020-12-31
780,SRI,Sri Lanka (Ceylon),Sri Lanka,1948-02-04,2020-12-31
625,SUD,Sudan,Sudan,1956-01-01,2020-12-31
115,SUR,Surinam,Suriname,1975-11-25,2020-12-31
572,SWA,Swaziland,Eswatini,1968-09-06,2020-12-31
380,SWD,Sweden,Sweden,1816-01-01,2020-12-31
225,SWZ,Switzerland,Switzerland,1816-01-01,2020-12-31
652,SYR,Syria,Syria,1946-01-01,2020-12-31
713,TAW,Taiwan,Taiwan,1949-12-08,2020-12-31
702,TAJ,Tajikistan,Tajikistan,1991-09-09,2020-12-31
510,TAZ,Tanzania/Tanganyika,Tanzania,1961-12-09,2020-12-31
800,THI,Thailand,Thailand,1816-01-01,2020-12-31
711,TBT,Tibet,,1913-01-01,1950-10-01
461,TOG,Togo,Togo,1960-04-27,2020-12-31
972,TON,Tonga,Tonga,1970-06-04,2020-12-31
563,TRA,Transvaal,,1852-01-01,1910-05-30
52,TRI,Trinidad and Tobago,Trinidad and Tobago,1962-08-31,2020-12-31
616,TUN,Tunisia,Tunisia,1816-01-01,1881-05-12
616,TUN,Tunisia,Tunisia,1956-01-01,2020-12-31
640,TUR,Turkey (Ottoman Empire),Turkey,1816-01-01,2020-12-31
701,TKM,Turkmenistan,Turkmenistan,1991-10-27,2020-12-31
337,TUS,Tuscany,"Grand Duchy of Tuscany, The",1816-01-01,1861-03-16
973,TUV,Tuvalu,Tuvalu,1978-10-01,2020-12-31
