country_abbrev_cow,country_code_cow,country_name_cow,country_name_usdos,date_start,date_end,us_mission_status
BUI,516,Burundi,Burundi,1962-07-01,1962-12-14,Embassy
BUI,516,Burundi,Burundi,1962-12-15,1963-09-15,Legation
BUI,516,Burundi,Burundi,1963-09-16,2024-12-31,Embassy
BUL,355,Bulgaria,Bulgaria,1908-10-05,1912-01-31,Liaison
BUL,355,Bulgaria,Bulgaria,1912-02-01,1919-03-17,Envoy Nonresident
BUL,355,Bulgaria,Bulgaria,1919-03-18,1941-12-12,Legation
BUL,355,Bulgaria,Bulgaria,1941-12-13,1947-09-26,None
BUL,355,Bulgaria,Bulgaria,1947-09-27,1950-02-19,Legation
BUL,355,Bulgaria,Bulgaria,1950-02-20,1960-03-13,None
BUL,355,Bulgaria,Bulgaria,1960-03-14,1966-11-27,Legation
BUL,355,Bulgaria,Bulgaria,1966-11-28,2024-12-31,Embassy
CAM,811,Cambodia,Cambodia,1953-11-09,1965-05-02,Embassy
CAM,811,Cambodia,Cambodia,1965-05-03,1969-08-15,None
CAM,811,Cambodia,Cambodia,1969-08-16,1975-04-11,Embassy
CAM,811,Cambodia,Cambodia,1975-04-12,1991-11-10,None
CAM,811,Cambodia,Cambodia,1991-11-11,1994-05-16,Liaison
CAM,811,Cambodia,Cambodia,1994-05-17,2024-12-31,Embassy
CAN,20,Canada,Canada,1920-01-10,1927-05-31,None
CAN,20,Canada,Canada,1927-06-01,1943-11-18,Legation
CAN,20,Canada,Canada,1943-11-19,2024-12-31,Embassy
CAO,471,Cameroon,Cameroon,1960-01-01,2024-12-31,Embassy
CAP,402,Cape Verde,Cabo Verde,1975-07-05,1976-11-17,None
CAP,402,Cape Verde,Cabo Verde,1976-11-18,1978-01-27,Ambassador Nonresident
CAP,402,Cape Verde,Cabo Verde,1978-01-28,2024-12-31,Embassy
CDI,437,Ivory Coast,Cote d’Ivoire (Ivory Coast),1960-08-07,2024-12-31,Embassy
CEN,482,Central African Republic,Central African Republic,1960-08-13,1961-02-09,Ambassador Nonresident
CEN,482,Central African Republic,Central African Republic,1961-02-10,1997-03-30,Embassy
CEN,482,Central African Republic,Central African Republic,1997-03-31,1999-01-31,None
CEN,482,Central African Republic,Central African Republic,1999-02-01,2024-12-31,Embassy
CHA,483,Chad,Chad,1960-08-11,1961-01-31,Ambassador Nonresident
CHA,483,Chad,Chad,1961-02-01,1980-03-23,Embassy
CHA,483,Chad,Chad,1980-03-24,1982-01-14,None
CHA,483,Chad,Chad,1982-01-15,2024-12-31,Embassy
CHL,155,Chile,Chile,1839-01-01,1914-09-30,Legation
CHL,155,Chile,Chile,1914-10-01,2024-12-31,Embassy
CHN,710,China,China,1860-10-25,1912-02-11,Legation
CHN,710,China,China,1912-02-12,1913-05-01,None
CHN,710,China,China,1913-05-02,1924-12-08,Legation
CHN,710,China,China,1924-12-09,1928-07-24,None
CHN,710,China,China,1928-07-25,1935-06-17,Legation
CHN,710,China,China,1935-06-18,1949-09-30,Embassy
CHN,710,China,China,1949-10-01,1973-04-30,None
CHN,710,China,China,1973-05-01,1979-02-28,Liaison
CHN,710,China,China,1979-03-01,2024-12-31,Embassy
COL,100,Colombia,Colombia,1831-01-01,1939-02-14,Legation
COL,100,Colombia,Colombia,1939-02-15,2024-12-31,Embassy
COM,581,Comoros,Comoros,1975-12-31,1977-08-14,None
COM,581,Comoros,Comoros,1977-08-15,1985-08-25,Ambassador Nonresident
COM,581,Comoros,Comoros,1985-08-26,1993-09-29,Embassy
COM,581,Comoros,Comoros,1993-09-30,2024-12-31,Ambassador Nonresident
CON,484,Congo,Republic of the Congo,1960-08-15,1965-08-14,Embassy
CON,484,Congo,Republic of the Congo,1965-08-15,1977-10-29,None
CON,484,Congo,Republic of the Congo,1977-10-30,2024-12-31,Embassy
COS,94,Costa Rica,Costa Rica,1920-01-01,1920-10-14,None
COS,94,Costa Rica,Costa Rica,1920-10-15,1943-05-19,Legation
COS,94,Costa Rica,Costa Rica,1943-05-20,2024-12-31,Embassy
CRO,344,Croatia,Croatia,1992-01-15,1992-08-24,None
CRO,344,Croatia,Croatia,1992-08-25,2024-12-31,Embassy
CUB,40,Cuba,Cuba,1902-05-20,1902-05-26,None
CUB,40,Cuba,Cuba,1902-05-27,1906-09-25,Legation
CUB,40,Cuba,Cuba,1909-01-23,1923-02-09,Legation
CUB,40,Cuba,Cuba,1923-02-10,1961-01-02,Embassy
CUB,40,Cuba,Cuba,1961-01-03,1977-08-31,None
CUB,40,Cuba,Cuba,1977-09-01,2015-07-19,Interests
CUB,40,Cuba,Cuba,2015-07-20,2024-12-31,Embassy
CYP,352,Cyprus,Cyprus,1960-08-16,2024-12-31,Embassy
CZE,315,Czechoslovakia,Czechoslovakia,1918-10-28,1919-06-10,None
CZE,315,Czechoslovakia,Czechoslovakia,1919-06-11,1939-03-15,Legation
CZE,315,Czechoslovakia,Czechoslovakia,1945-05-10,1992-12-31,Embassy
CZR,316,Czech Republic,Czechia,1993-01-01,2024-12-31,Embassy
DEN,390,Denmark,Denmark,1816-01-01,1827-09-19,Consulate
DEN,390,Denmark,Denmark,1827-09-20,1940-04-09,Legation
DEN,390,Denmark,Denmark,1945-05-07,1945-06-15,None
DEN,390,Denmark,Denmark,1945-06-16,1947-03-17,Legation
DEN,390,Denmark,Denmark,1947-03-18,2024-12-31,Embassy
DJI,522,Djibouti,Djibouti,1977-06-27,2024-12-31,Embassy
DMA,54,Dominica,Dominica,1978-11-03,1979-07-17,None
DMA,54,Dominica,Dominica,1979-07-18,2024-12-31,Ambassador Nonresident
DOM,42,Dominican Republic,Dominican Republic,1894-01-01,1904-07-22,Envoy Nonresident
DOM,42,Dominican Republic,Dominican Republic,1904-07-23,1916-11-29,Legation
DOM,42,Dominican Republic,Dominican Republic,1924-09-29,1943-03-22,Legation
DOM,42,Dominican Republic,Dominican Republic,1943-03-23,1960-08-25,Embassy
DOM,42,Dominican Republic,Dominican Republic,1960-08-26,1962-01-05,None
DOM,42,Dominican Republic,Dominican Republic,1962-01-06,1963-09-24,Embassy
DOM,42,Dominican Republic,Dominican Republic,1963-09-25,1964-03-22,None
DOM,42,Dominican Republic,Dominican Republic,1964-03-23,2024-12-31,Embassy
DRC,490,Democratic Republic of the Congo,Democratic Republic of the Congo,1960-06-30,2024-12-31,Embassy
DRV,816,Vietnam,,1954-07-21,1975-04-28,None
DRV,816,Vietnam,,1975-04-29,1975-04-29,None
DRV,816,Vietnam,Vietnam,1975-04-30,1995-01-27,None
DRV,816,Vietnam,Vietnam,1995-01-28,1995-08-05,Liaison
DRV,816,Vietnam,Vietnam,1995-08-06,2024-12-31,Embassy
ECU,130,Ecuador,Ecuador,1854-01-01,1942-03-04,Legation
ECU,130,Ecuador,Ecuador,1942-03-05,2024-12-31,Embassy
EGY,651,Egypt,Egypt,1855-01-01,1882-09-15,Consulate
EGY,651,Egypt,Egypt,1937-05-26,1946-10-09,Legation
EGY,651,Egypt,Egypt,1946-10-10,1967-06-05,Embassy
EGY,651,Egypt,Egypt,1967-06-06,1967-06-06,None
EGY,651,Egypt,Egypt,1967-06-07,1974-02-27,Interests
EGY,651,Egypt,Egypt,1974-02-28,2024-12-31,Embassy
EQG,411,Equatorial Guinea,Equatorial Guinea,1968-10-12,1968-11-20,None
EQG,411,Equatorial Guinea,Equatorial Guinea,1968-11-21,1969-07-31,Ambassador Nonresident
EQG,411,Equatorial Guinea,Equatorial Guinea,1969-08-01,1976-03-13,Embassy
EQG,411,Equatorial Guinea,Equatorial Guinea,1976-03-14,1979-12-18,None
EQG,411,Equatorial Guinea,Equatorial Guinea,1979-12-19,1981-06-10,Ambassador Nonresident
EQG,411,Equatorial Guinea,Equatorial Guinea,1981-06-11,1995-10-30,Embassy
EQG,411,Equatorial Guinea,Equatorial Guinea,1995-10-31,2006-11-22,Ambassador Nonresident
EQG,411,Equatorial Guinea,Equatorial Guinea,2006-11-23,2024-12-31,Embassy
ERI,531,Eritrea,Eritrea,1993-05-24,1993-06-10,Consulate
ERI,531,Eritrea,Eritrea,1993-06-11,2024-12-31,Embassy
EST,366,Estonia,Estonia,1918-02-24,1922-07-27,None
EST,366,Estonia,Estonia,1922-07-28,1930-06-29,Envoy Nonresident
EST,366,Estonia,Estonia,1930-06-30,1940-06-16,Legation
EST,366,Estonia,Estonia,1991-09-06,1991-10-01,None
EST,366,Estonia,Estonia,1991-10-02,2024-12-31,Embassy
ETH,530,Ethiopia,Ethiopia,1898-01-01,1909-07-05,None
ETH,530,Ethiopia,Ethiopia,1909-07-06,1936-05-05,Legation
ETH,530,Ethiopia,Ethiopia,1941-05-05,1943-08-30,None
ETH,530,Ethiopia,Ethiopia,1943-08-31,1949-06-27,Legation
ETH,530,Ethiopia,Ethiopia,1949-06-28,2024-12-31,Embassy
ETM,860,East Timor,Timor-Leste,2002-09-27,2024-12-31,Embassy
FIJ,950,Fiji,Fiji,1970-10-10,1971-10-31,Consul Nonresident
FIJ,950,Fiji,Fiji,1971-11-01,2024-12-31,Embassy
FIN,375,Finland,Finland,1917-12-06,1919-05-26,None
FIN,375,Finland,Finland,1919-05-27,1920-03-18,Envoy Nonresident
FIN,375,Finland,Finland,1920-03-19,1944-06-29,Legation
FIN,375,Finland,Finland,1944-06-30,1945-01-15,None
FIN,375,Finland,Finland,1945-01-16,1945-08-31,Liaison
FIN,375,Finland,Finland,1945-09-01,1952-11-14,Legation
FIN,375,Finland,Finland,1952-11-15,2024-12-31,Embassy
FRN,220,France,France,1816-01-01,1893-04-07,Legation
FRN,220,France,France,1893-04-08,1942-11-07,Embassy
FRN,220,France,France,1942-11-08,1942-11-11,None
FRN,220,France,France,1944-08-25,1944-10-22,None
FRN,220,France,France,1944-10-23,2024-12-31,Embassy
FSM,987,Federated States of Micronesia,Micronesia,1991-09-17,2024-12-31,Embassy
GAB,481,Gabon,Gabon,1960-08-17,1961-03-19,Ambassador Nonresident
GAB,481,Gabon,Gabon,1961-03-20,2024-12-31,Embassy
GAM,420,Gambia,"Gambia, The",1965-02-18,1965-08-08,None
GAM,420,Gambia,"Gambia, The",1965-08-09,1965-09-08,Ambassador Nonresident
GAM,420,Gambia,"Gambia, The",1965-09-09,2024-12-31,Embassy
GDR,265,German Democratic Republic,East Germany (German Democratic Republic),1954-03-25,1974-12-08,None
GDR,265,German Democratic Republic,East Germany (German Democratic Republic),1974-12-09,1990-10-02,Embassy
GFR,260,German Federal Republic,Germany,1955-05-05,1990-10-02,Embassy
GHA,452,Ghana,Ghana,1957-03-06,2024-12-31,Embassy
GMY,255,Germany,Germany,1816-01-01,1893-10-25,Legation
GMY,255,Germany,Germany,1893-10-26,1917-02-02,Embassy
GMY,255,Germany,Germany,1917-02-03,1921-12-09,None
GMY,255,Germany,Germany,1921-12-10,1941-12-10,Embassy
GMY,255,Germany,Germany,1941-12-11,1945-05-08,None
GMY,255,Germany,Germany,1990-10-03,2024-12-31,Embassy
GNB,404,Guinea-Bissau,Guinea-Bissau,1974-09-10,1976-06-29,None
GNB,404,Guinea-Bissau,Guinea-Bissau,1976-06-30,1998-06-13,Embassy
GNB,404,Guinea-Bissau,Guinea-Bissau,1998-06-14,2003-02-12,None
GNB,404,Guinea-Bissau,Guinea-Bissau,2003-02-13,2024-12-31,Ambassador Nonresident
GRC,350,Greece,Greece,1828-01-01,1838-01-06,None
GRC,350,Greece,Greece,1838-01-07,1868-06-15,Consulate
GRC,350,Greece,Greece,1868-06-16,1920-12-05,Legation
GRC,350,Greece,Greece,1920-12-06,1922-01-31,None
GRC,350,Greece,Greece,1922-02-01,1941-04-23,Legation
GRC,350,Greece,Greece,1944-10-13,2024-12-31,Embassy
GRG,372,Georgia,Georgia,1991-12-26,1992-04-22,None
GRG,372,Georgia,Georgia,1992-04-23,2024-12-31,Embassy
GRN,55,Grenada,Grenada,1974-02-07,1975-02-24,None
